"fruit","day","ripeness","green","yellow","brown"
"fruit_14",0,"Under",0.387,0.592,0.021
"fruit_14",1,"Ripe",0.149,0.844,0.007
"fruit_14",2,"Ripe",0.117,0.801,0.082
"fruit_14",4,"Ripe",0.09,0.771,0.139
"fruit_14",5,"Ripe",0.113,0.774,0.113
"fruit_14",6,"Ripe",0.165,0.767,0.068
"fruit_14",7,"Very",0.144,0.646,0.21
"fruit_14",8,"Very",0.183,0.55,0.267
"fruit_14",9,"Very",0.21,0.429,0.361
"fruit_14",10,"Very",0.108,0.319,0.573
"fruit_14",11,"Very",0.099,0.296,0.605
"fruit_14",12,"Over",0.081,0.208,0.711
"fruit_14",13,"Over",0.097,0.168,0.735
"fruit_14",14,"Over",0.066,0.121,0.813
"fruit_14",15,"Over",0.062,0.075,0.863
"fruit_14",16,"Over",0.056,0.044,0.9
"fruit_14",17,"Over",0.051,0.041,0.908
"fruit_14",18,"Over",0.044,0.034,0.922
"fruit_14",19,"Over",0.043,0.033,0.924
"fruit_14",20,"Over",0.044,0.024,0.932
"fruit_15",0,"Under",0.568,0.425,0.007
"fruit_15",1,"Under",0.295,0.691,0.014
"fruit_15",2,"Ripe",0.27,0.693,0.037
"fruit_15",4,"Ripe",0.168,0.687,0.145
"fruit_15",5,"Ripe",0.157,0.704,0.139
"fruit_15",6,"Ripe",0.186,0.724,0.09
"fruit_15",7,"Ripe",0.158,0.657,0.185
"fruit_15",8,"Very",0.176,0.626,0.198
"fruit_15",9,"Very",0.208,0.528,0.264
"fruit_15",10,"Very",0.168,0.422,0.41
"fruit_15",11,"Very",0.135,0.451,0.414
"fruit_15",12,"Very",0.108,0.431,0.461
"fruit_15",13,"Very",0.153,0.362,0.485
"fruit_15",14,"Over",0.104,0.373,0.523
"fruit_15",15,"Over",0.11,0.242,0.648
"fruit_15",16,"Over",0.101,0.206,0.693
"fruit_15",17,"Over",0.083,0.172,0.745
"fruit_15",18,"Over",0.076,0.137,0.787
"fruit_15",19,"Over",0.074,0.097,0.829
"fruit_15",20,"Over",0.072,0.061,0.867
"fruit_21",0,"Under",0.402,0.566,0.032
"fruit_21",1,"Ripe",0.149,0.82,0.031
